date,open,high,low,close,volume
2014-01-01,737.67,757,735,752.98,0
2014-01-02,750,800,742.52,786.6,0
2014-01-03,786.6,818.99,768,802.49,0
2014-01-04,802.4698,842,791.04,839.99,0
2014-01-05,839.99,939.8,825,910,0
2014-01-06,909.71,995,875.181,925.9999,0
2014-01-07,925,943.15,765,799,0
2014-01-08,799,849,779.59,826.01,0
2014-01-09,827.8,846.35,779.99,824.85,0
2014-01-10,822.16,860.64,799.98,854.33,0
2014-01-11,853.1,915,853,899,0
2014-01-12,898.68,902,821.1,827.24,0
2014-01-13,827.24,844.2,784,817.9,0
2014-01-14,817.74,836.99,802.3,818.9999,0
2014-01-15,819,850.25,812,844,0
2014-01-16,845,847.68,807.11,818.49,0
2014-01-17,818.39,820.22,765.03,807,0
2014-01-18,804.98,820,794.93,809.14,0
2014-01-19,807.22,844.88,794.41,835.9,0
2014-01-20,836,844.99,815.01,828,0
2014-01-21,828,834.17,813.6,822.8,0
2014-01-22,822.8,824.13,803.1,818,0
2014-01-23,818.51,823,802.52,810.14,0
2014-01-24,806.97,809.14,767.23,775.0123,0
2014-01-25,775.0123,817,775,804.73,0
2014-01-26,805.5,836.7318,794.64,812.5,0
2014-01-27,812.7,824.9999,726.5,749.03,0
2014-01-28,748.1,814.5,741.214,784.69,0
2014-01-29,784.42,805,781.8,794.731,0
2014-01-30,794.74,812.65489,770,803.0101,0
2014-01-31,802.5,809.6746,793,805.22,0
2014-02-01,804.8,829,801,812.6,0
2014-02-02,812.6,827.2,811,814,0
2014-02-03,812.05,815.2,798.5,805.31499,0
2014-02-04,805.31499,814.4,795.2,800.01,0
2014-02-05,800.03,807.48,777.85,780,0
2014-02-06,784,829,678.03,761,0
2014-02-07,760.61,763.07,620,700.5,0
2014-02-08,707.8,723.97,667,678,0
2014-02-09,678,728.89935,666.53,694,0
2014-02-10,693.5,703,450.13,687.05035,0
2014-02-11,689.13,721.35,631.2,678,0
2014-02-12,675.31,682.5,642,656.01,0
2014-02-13,656.01,658.9899,601.2,606.01,0
2014-02-14,607,710,535,661.13,0
2014-02-15,661.13,668.4,633.3,654.99,0
2014-02-16,652.5,670.9999,585,625,0
2014-02-17,625,664,611,633.99,0
2014-02-18,633.51,651.3,611.305,628.1999,0
2014-02-19,625.81,636.85,617.89,627.45,0
2014-02-20,627.45,629,541.2,542.42,0
2014-02-21,542.42,588.4897,530,579.98,0
2014-02-22,579.9,619,562,614.389,0
2014-02-23,614.389,644.93,600.2,607,0
2014-02-24,606.9999,608.4,505.7511,517.87,0
2014-02-25,519,549,400,544.24,0
2014-02-26,542.01,609,541,597.6001,0
2014-02-27,597.7001,599,568.75,584.3339,0
2014-02-28,585.2928,591.18,540.2044,549.995,0
2014-03-01,549.01,577.25,541.1,570,0
2014-03-02,569.31874,572.24,555.161,565.37191,0
2014-03-03,566,719.25,563,680.98,0
2014-03-04,680.98,703.85,658.5,672,0
2014-03-05,673.26,678.9999,651.21,669.61,0
2014-03-06,669.61,676.43,648.7,668,0
2014-03-07,667,669,616.23,631.01,0
2014-03-08,633,639.999,600.6,616.8001,0
2014-03-09,616.9,654.999,610.25,638.5,0
2014-03-10,638.52,648.3,606,626.9801,0
2014-03-11,626.9801,641.9999,615.31,634.01,0
2014-03-12,634.0001,654,631,636.2296,0
2014-03-13,636.10235,648,634.5001,644.18,0
2014-03-14,643.1,645,623.5,627.98,0
2014-03-15,628.89,639.8899,626.3,635.45,0
2014-03-16,635.45,638,628.5801,633,0
2014-03-17,632,632.5,619.2,623.8,0
2014-03-18,623.8,623.8,600,615.5999,0
2014-03-19,615.5999,622.2,605.9841,609,0
2014-03-20,608.9841,609,584,586.5551,0
2014-03-21,588.8294,605.96,555.5,570.9999,0
2014-03-22,570.9898,574.24,550.09,563,0
2014-03-23,563,571,555,558,0
2014-03-24,557.8884,590,550.5,585.6587,0
2014-03-25,584.9899,586,568.55,583.9899,0
2014-03-26,583.89,593.25,566.51,576.6,0
2014-03-27,577.9999,579.4799,465,474,0
2014-03-28,475,533.36,470,502.25,0
2014-03-29,502.4996,507.99,485.45,492.4398,0
2014-03-30,490.01,491.9999,436.2,460.9999,0
2014-03-31,460.6,488,436.1,456.9899,0
2014-04-01,456.3,513.9,453.4,479.9181,0
2014-04-02,477.53,496.2,431.2,437.2203,0
2014-04-03,436.5301,463,415.46,447.9999,0
2014-04-04,447.1161,458.5899,430.2,447.0211,0
2014-04-05,448.001,464.5,444.395,463.99,0
2014-04-06,463.97,465.9998,450,458.78,0
2014-04-07,458.5,461,445.05,446.58,0
2014-04-08,445.222,458.8,445.01,452.3849,0
2014-04-09,452.3849,455.13591,440.0536,442.45,0
2014-04-10,442.4499,442.8689,357,364.2,0
2014-04-11,364.04989,433.6,340,421,0
2014-04-12,421.999,441,413.0741,423.3,0
2014-04-13,422.2001,428.2,400,418,0
2014-04-14,417.6,478,406.4,460,0
2014-04-15,460,526.995,452,519,0
2014-04-16,519.11,547,495,531.25,0
2014-04-17,531.25,535.7499,486.1,498.1,0
2014-04-18,499,503.9999,474.25,480.044,0
