date,open,high,low,close,volume
2007-07-13,1555.25,1565.75,1553.5,1560,1135596
2007-07-16,1560.25,1566.25,1556.5,1559.75,1081563
2007-07-17,1559.25,1565.5,1555,1558.75,1267583
2007-07-18,1557.5,1558,1542.5,1554.75,2112721
2007-07-19,1555.5,1565,1548.5,1559.75,1337495
2007-07-20,1559,1561.75,1537.25,1545,2192420
2007-07-23,1543.75,1556.25,1543.5,1549,1148097
2007-07-24,1549.25,1551.75,1516.5,1522.5,2101765
2007-07-25,1522.5,1532.25,1510.5,1524.75,2385315
2007-07-26,1523.5,1529.5,1471,1488,3650201
2007-07-27,1489.75,1496.5,1457.25,1458,3043045
2007-07-30,1460,1484.75,1455,1480.75,2212883
2007-07-31,1480.5,1495.75,1456.25,1462,2589335
2007-08-01,1462.5,1475,1442.25,1470,3411368
2007-08-02,1469.5,1483,1464.5,1481.75,2209158
2007-08-03,1481.25,1484.25,1436.25,1443,2673337
2007-08-06,1439.5,1473.5,1432.25,1467.75,2864358
2007-08-07,1468.25,1494.75,1460.75,1482.5,2610986
2007-08-08,1482,1510.5,1480.5,1504,2713939
2007-08-09,1502.25,1504.5,1456.5,1458,3208674
2007-08-10,1458,1468.5,1433,1451,3630084
2007-08-13,1454.5,1472.5,1453.5,1455,1798787
2007-08-14,1455.25,1462.75,1430.25,1434.25,2599901
2007-08-15,1433,1447,1408.75,1414.5,2962153
2007-08-16,1414.5,1433,1374.5,1424.5,4817982
2007-08-17,1424.75,1471.5,1399.5,1450,3323512
2007-08-20,1448.75,1457,1434.5,1449,1752018
2007-08-21,1448.75,1460,1440.25,1450.25,1790908
2007-08-22,1450.25,1469.5,1448.75,1468.75,1577659
2007-08-23,1468,1483.75,1457,1466.5,1638692
2007-08-24,1466.5,1484,1460,1483.5,1194936
2007-08-27,1483.25,1483.5,1468,1469.75,911862
2007-08-28,1469.5,1470.5,1434.75,1438.25,1968439
2007-08-29,1438.5,1467.25,1435,1465.5,2013564
2007-08-30,1465.25,1471.5,1452.5,1461.5,1859430
2007-08-31,1461.5,1484.75,1461.25,1476.75,1719861
2007-09-04,1476,1499.25,1468.5,1489.5,1605356
2007-09-05,1488.75,1489.5,1468.25,1476.5,1938199
2007-09-06,1476.25,1484.5,1469.5,1479.5,1520257
2007-09-07,1479.25,1480.25,1450.25,1459.75,2462976
2007-09-10,1458.5,1465.5,1440.75,1455.25,2089511
2007-09-11,1454.75,1474.5,1453.25,1472.75,1855898
2007-09-12,1472,1481.25,1465.75,1476.25,1803900
2007-09-13,1475.75,1491,1471,1485,865139
2007-09-14,1484.75,1487,1473.25,1485,560738
2007-09-17,1484.5,1484.5,1472.25,1477,399122
2007-09-18,1490.25,1534.25,1485,1533,2602689
2007-09-19,1532.25,1552,1531.5,1541.5,2651718
2007-09-20,1540.75,1542.25,1528.75,1531.75,2201481
2007-09-21,1531,1544,1528.5,1534.5,1346720
2007-09-24,1533.25,1542.75,1528,1531.75,1496817
2007-09-25,1531.25,1531.5,1518.75,1529,1582077
2007-09-26,1529,1541.75,1528.5,1536.25,1689313
2007-09-27,1536,1545,1535.75,1544.5,1311882
2007-09-28,1544,1545.5,1533,1538,1456078
2007-10-01,1540.5,1561,1535.25,1556.5,1700876
2007-10-02,1556.5,1560,1551.25,1554.5,1273754
2007-10-03,1554.25,1556.5,1546.5,1550.75,1385584
2007-10-04,1550.75,1554.75,1548,1552.25,925288
2007-10-05,1552.5,1573.5,1550.5,1570.75,1698410
2007-10-08,1570.25,1570.5,1559.75,1562.75,718340
2007-10-09,1563,1577.5,1560.5,1576.25,1282309
2007-10-10,1576,1576.25,1565.25,1573.25,1306369
2007-10-11,1573,1586.75,1556.25,1565.25,2280665
2007-10-12,1565,1575,1559,1574.5,1412727
2007-10-15,1574.5,1576,1550,1560.25,1954174
2007-10-16,1560.25,1561.75,1545.25,1547.5,1844427
2007-10-17,1549,1561.25,1534,1552.5,2240072
2007-10-18,1553.5,1555,1540,1546.75,1556337
2007-10-19,1547,1549.5,1505,1505.75,2689752
2007-10-22,1505.25,1515.75,1492.5,1513.5,2401489
2007-10-23,1513.5,1527.5,1510.25,1525.5,1746151
2007-10-24,1523.25,1524.5,1495.25,1522,2688644
2007-10-25,1522.25,1529.75,1505.5,1525,1954427
2007-10-26,1528,1543.25,1521.75,1542.5,1550975
2007-10-29,1542,1551,1540.75,1547,1019404
2007-10-30,1547.25,1548,1534.75,1536,1024638
2007-10-31,1536.25,1558.75,1533.75,1555,1961311
2007-11-01,1554,1555,1510.5,1515.75,2522700
2007-11-02,1515.75,1525,1496.75,1517.5,2779027
2007-11-05,1515.75,1516.25,1494.25,1505.5,2089436
2007-11-06,1505.5,1526,1503.5,1525,1721389
2007-11-07,1524.75,1525,1478.75,1482.75,2623334
2007-11-08,1482,1491,1454,1475.5,3096792
2007-11-09,1476.5,1480.25,1451.75,1455,2533438
2007-11-12,1453.75,1469.25,1439.5,1440.25,1946149
2007-11-13,1441,1486.25,1437.25,1483.25,2063330
2007-11-14,1483,1496.75,1470,1478,1892320
2007-11-15,1478,1482,1446.75,1458,2256322
2007-11-16,1457.75,1466.75,1447.5,1460.25,2135862
2007-11-19,1460.25,1465.75,1433.25,1437.5,2102852
2007-11-20,1438.5,1456.5,1422,1446,2970104
2007-11-21,1446.75,1448,1417,1417.75,1996723
2007-11-23,1418.5,1444,1417.5,1442,693706
2007-11-26,1442,1454.25,1406.75,1409.25,2322802
2007-11-27,1409.5,1432.75,1406.25,1426.5,2558722
2007-11-28,1426.5,1475,1420.5,1470.5,2417256
2007-11-29,1471,1477,1460.75,1471.5,1815242
2007-11-30,1470.5,1492.25,1468.5,1483.75,2018633
2007-12-03,1484,1486.25,1472,1475.5,1471676
2007-12-04,1475.5,1476,1462.5,1463.25,1380860
2007-12-05,1463.5,1489,1463,1487,1733327
2007-12-06,1487.25,1510.75,1482,1507.5,1720838
2007-12-07,1507.5,1515.25,1500.75,1507.25,1283732
2007-12-10,1506.5,1520.75,1501,1518.75,1152663
2007-12-11,1518.5,1527,1475.5,1478,2333091
2007-12-12,1477.25,1517,1468.75,1490.25,3006773
2007-12-13,1490,1492.25,1469.75,1488,1401591
2007-12-14,1488.25,1494,1467.5,1468,658529
2007-12-17,1468,1468,1444.75,1446.5,630342
2007-12-18,1457.5,1472,1445.75,1466.5,2122635
2007-12-19,1466.5,1475.5,1455.75,1465,1996306
2007-12-20,1464.5,1475,1457.5,1474.75,1606569
2007-12-21,1474,1499,1471.25,1498,1195437
2007-12-24,1497,1509.75,1495,1506.5,253393
2007-12-26,1506.5,1511,1499.25,1509.75,363604
2007-12-27,1509.75,1511,1485,1489.75,901031
2007-12-28,1489.75,1503,1481,1485.5,792586
2007-12-31,1485.25,1489,1471,1477.25,671363
2008-01-02,1478.75,1482.75,1449,1458.5,1623508
2008-01-03,1458.5,1464.75,1451,1458.75,1266237
2008-01-04,1458.75,1463.25,1417.5,1423,2199479
2008-01-07,1422.5,1432.25,1410,1421.5,2436934
2008-01-08,1421.75,1437.75,1393,1397,2902242
2008-01-09,1397.25,1416.5,1385,1411.5,2811604
2008-01-10,1412.5,1436.25,1401.5,1421,2737056
2008-01-11,1420.5,1423.75,1400.25,1407.75,2191787
2008-01-14,1408.5,1424.5,1398,1420.25,1456055
2008-01-15,1421,1422.5,1385.25,1388,2438444
2008-01-16,1381.75,1397.5,1368.5,1376,3222442
2008-01-17,1377.25,1389.25,1334,1339.75,3404177
2008-01-18,1340.75,1360.5,1315.75,1325.25,3219547
2008-01-22,1327.75,1331.5,1255.5,1309.25,4734875
2008-01-23,1311.75,1344.5,1261,1341.5,4119794
2008-01-24,1342.25,1357.25,1333.25,1352.25,2431922
2008-01-25,1356,1370.75,1328.25,1334,2543013
2008-01-28,1336,1358.25,1310.25,1354.5,2013859
2008-01-29,1353.75,1367,1350.25,1362,1581503
2008-01-30,1361.5,1387.5,1347.25,1350.5,2609409
2008-01-31,1349.75,1387.25,1331.5,1379.5,3192392
2008-02-01,1374,1398,1371.5,1397,2290938
2008-02-04,1396.75,1400,1378,1378.75,1218675
2008-02-05,1379.25,1381.25,1337.5,1343.25,2517764
2008-02-06,1343.25,1353.25,1324.75,1330,2162714
2008-02-07,1331.75,1348.5,1312.75,1340.25,2927426
2008-02-08,1340.5,1343.75,1321,1330.25,1708720
2008-02-11,1329.5,1342.5,1320.25,1338.25,1842322
2008-02-12,1337.75,1363.5,1332.75,1349.75,2251770
2008-02-13,1349.5,1370.5,1343.5,1363.75,1835901
2008-02-14,1364,1371.5,1347.25,1351,1902104
2008-02-15,1350.25,1357.25,1337,1351.25,1466909
2008-02-19,1350,1369.75,1345.25,1355.5,1718585
2008-02-20,1355,1364.75,1332.75,1359,2212665
2008-02-21,1358.25,1369.25,1339.25,1347,2032645
2008-02-22,1346.5,1357.5,1327,1355.5,2024737
2008-02-25,1354.5,1375.5,1346.25,1371.6,2041157
2008-02-26,1371,1388.5,1363.75,1382.75,2096189
2008-02-27,1381.75,1390,1371,1380.5,1835677
2008-02-28,1380,1381.5,1363.5,1365.75,1796976
2008-02-29,1366,1367,1325.25,1331.25,2302716
2008-03-03,1329.5,1335.75,1320,1332,1944534
2008-03-04,1332.5,1337.5,1307,1327,2763950
2008-03-05,1328,1345,1320.25,1335.5,2468567
2008-03-06,1335.75,1343,1302.25,1308,2517077
2008-03-07,1307,1318.5,1282.25,1292.75,3078193
2008-03-10,1292,1299.5,1272.5,1275.5,2381829
2008-03-11,1276.5,1324,1272.25,1324,3222244
2008-03-12,1323,1334.25,1308,1309.5,2545300
2008-03-13,1310,1322.5,1282,1313.25,1853949
2008-03-14,1312.75,1333.75,1274.25,1291.5,1347641
2008-03-17,1289.5,1314,1253,1279.5,3692310
2008-03-18,1281.5,1334.5,1278.75,1334,3129809
2008-03-19,1333,1343.75,1296.75,1299.5,3251081
2008-03-20,1300.25,1332.5,1286.5,1324.75,2162947
2008-03-24,1326.25,1361.5,1325.25,1351.5,1429511
2008-03-25,1351.5,1359.5,1342,1351.5,1733906
2008-03-26,1351.25,1351.75,1334,1335.5,1602660
2008-03-27,1335,1348,1326.5,1329.75,2021529
2008-03-28,1330.25,1340.5,1313.75,1319,1526259
2008-03-31,1319,1330.5,1309.5,1324,1619317
2008-04-01,1322,1372.5,1315.75,1370.5,2328623
2008-04-02,1370.25,1380,1363,1371,1842164
2008-04-03,1370,1377.75,1359.5,1373.5,1597014
2008-04-04,1373.5,1388,1364.25,1372,1921087
2008-04-07,1372.5,1389,1369.75,1372.25,1476207
2008-04-08,1371.25,1372.25,1362.25,1371,1412742
2008-04-09,1370.75,1377.5,1351.25,1360.25,1833439
2008-04-10,1359.25,1369.25,1351.25,1362.75,1787751
2008-04-11,1362.5,1369,1331.75,1335.5,2024747
2008-04-14,1335.25,1337.25,1325.75,1331.25,1459105
2008-04-15,1331,1338.75,1325,1336,1753265
2008-04-16,1342.75,1371.5,1337.25,1371,2089593
