date,open,high,low,close,volume
2015-08-07,3,3.00001,3,3,369
2015-08-08,3,3,0.15,1.19999,2330
2015-08-11,0.79969,1.15,0.65038,0.99,9142
2015-08-12,1,1.288,0.905,1.288,2236
2015-08-13,1.2628,1.8848,1.2628,1.8848,5306
2015-08-14,1.88345,2.1,1.79489,1.79489,10365
2015-08-15,1.7,1.79,1.5,1.79,15532
2015-08-16,1.65,1.65,0.5,1.5893,15682
2015-08-17,1.50539,1.58,1.25,1.29638,5116
2015-08-18,1.15,1.36163,0.98998,1.10001,4565
2015-08-19,1.10001,1.24,1.10001,1.24,2744
2015-08-20,1.3,1.5218,1.3,1.5218,1388
2015-08-21,1.45061,1.53,1.43588,1.43588,8624
2015-08-22,1.41,1.41,1.4,1.4,321
2015-08-23,1.35,1.35002,1.31,1.35,348
2015-08-24,1.33,1.34,1.23804,1.23804,6152
2015-08-25,1.22031,1.277,1.22031,1.27119,1158
2015-08-26,1.11099,1.2,1.08253,1.18,2314
2015-08-27,1.18818,1.18818,1.13646,1.13646,261
2015-08-28,1.21733,1.3,1.15219,1.295,26892
2015-08-29,1.16415,1.1795,1.153,1.1795,388
2015-08-30,1.21,1.35,1.17189,1.32,8907
2015-08-31,1.22,1.32,0.90001,1.30651,3852
2015-09-01,1.31241,1.38,1.31241,1.36,1253
2015-09-02,1.36,1.37199,1.14032,1.32795,483
2015-09-03,1.3,1.3,1.23357,1.23357,3206
2015-09-05,1.29705,1.37,1.29705,1.37,10735
2015-09-06,1.385,1.385,1.3351,1.34,95
2015-09-07,1.27561,1.27561,1.27561,1.27561,93
2015-09-08,1.26397,1.26397,1.26349,1.26349,104
2015-09-09,1.21,1.21,1.21,1.21,4
2015-09-10,1.19,1.21279,1.12001,1.1857,614
2015-09-11,1.15,1.16397,0.92422,0.92422,1832
2015-09-12,0.99999,1.14639,0.98,1.14639,303
2015-09-13,1.013,1.013,0.88367,0.88557,3384
2015-09-14,0.96222,0.96223,0.88495,0.955,830
2015-09-15,0.80405,1,0.80404,0.95,2429
