date,open,high,low,close,volume
2007-11-02,2.07995,2.0896,2.0764,2.0895,27269
2007-11-05,2.0891,2.0894,2.0782,2.0803,23682
2007-11-06,2.0803,2.0906,2.0802,2.0876,20211
2007-11-07,2.0876,2.1071,2.0859,2.10207,31402
2007-11-08,2.10207,2.1116,2.0973,2.10735,32598
2007-11-09,2.10735,2.11612,2.088,2.0911,49774
2007-11-12,2.0852,2.0868,2.0527,2.0528,47768
2007-11-13,2.0528,2.07613,2.0524,2.07075,40764
2007-11-14,2.07075,2.0844,2.05046,2.0522,47441
2007-11-15,2.0522,2.0618,2.0417,2.0449,44927
2007-11-16,2.0449,2.05309,2.03535,2.05213,40314
2007-11-19,2.0541,2.0564,2.0451,2.05,37233
2007-11-20,2.05,2.0684,2.04541,2.06657,44828
2007-11-21,2.06657,2.0697,2.05261,2.06518,43069
2007-11-22,2.06518,2.0684,2.0584,2.0617,22757
2007-11-23,2.0617,2.0764,2.0517,2.0608,32645
2007-11-26,2.0601,2.07378,2.0601,2.07101,35731
2007-11-27,2.07101,2.07554,2.06399,2.0684,39366
2007-11-28,2.0684,2.08325,2.0582,2.08223,45975
2007-11-29,2.08223,2.08223,2.0594,2.0612,40053
2007-11-30,2.0612,2.07,2.0533,2.0559,42072
2007-12-03,2.0545,2.0679,2.0524,2.0658,35312
2007-12-04,2.0658,2.0673,2.056,2.0591,39144
2007-12-05,2.0591,2.06104,2.02475,2.0261,45870
2007-12-06,2.0261,2.0312,2.018,2.02786,47566
2007-12-07,2.02786,2.03454,2.0221,2.03152,36859
2007-12-10,2.03006,2.04885,2.03006,2.0461,31559
2007-12-11,2.0461,2.05197,2.0329,2.0341,34666
2007-12-12,2.0341,2.05651,2.0339,2.0468,34172
2007-12-13,2.0468,2.0483,2.03409,2.04125,33740
2007-12-14,2.04125,2.04475,2.01461,2.0172,39135
2007-12-17,2.0145,2.02285,2.0101,2.02035,40467
2007-12-18,2.02035,2.02254,2.01105,2.0143,33158
2007-12-19,2.0143,2.0196,1.99277,1.9978,36325
2007-12-20,1.9978,1.9984,1.98095,1.9838,34307
2007-12-21,1.9838,1.98937,1.98095,1.98206,28642
2007-12-24,1.9833,1.98434,1.97539,1.97758,10250
2007-12-25,1.9784,1.98448,1.97009,1.97742,0
2007-12-26,1.97758,1.97758,1.9767,1.9767,14
2007-12-27,1.9767,1.9965,1.9767,1.9959,21828
2007-12-28,1.9959,2.00223,1.99022,1.99305,29225
2007-12-31,1.99465,2.01023,1.9816,1.98375,21591
2008-01-01,1.98551,1.98981,1.97898,1.98772,0
2008-01-02,1.98375,1.9878,1.97726,1.9808,32424
2008-01-03,1.9808,1.98375,1.97042,1.97085,39538
2008-01-04,1.97085,1.98501,1.96735,1.97155,38746
2008-01-07,1.9738,1.97555,1.9652,1.96994,35569
2008-01-08,1.96994,1.9828,1.96646,1.973,39186
2008-01-09,1.973,1.97625,1.95535,1.95845,42624
2008-01-10,1.95845,1.9667,1.954,1.96095,47363
2008-01-11,1.96095,1.96346,1.94825,1.95643,39977
2008-01-14,1.9577,1.9648,1.9555,1.9558,29123
2008-01-15,1.9558,1.9742,1.95225,1.9626,40200
2008-01-16,1.9626,1.9721,1.95285,1.9633,47597
2008-01-17,1.9633,1.97915,1.9605,1.9712,45532
2008-01-18,1.9712,1.9726,1.95125,1.95425,38038
2008-01-21,1.9574,1.9583,1.9429,1.9432,32457
2008-01-22,1.9432,1.963,1.93365,1.9607,48808
2008-01-23,1.9607,1.96445,1.94641,1.9552,47528
2008-01-24,1.9552,1.97785,1.94995,1.9764,40092
2008-01-25,1.9764,1.9848,1.9734,1.9816,35083
2008-01-28,1.9839,1.98915,1.97285,1.98416,30735
2008-01-29,1.98416,1.99287,1.98115,1.9892,30106
2008-01-30,1.9892,1.99582,1.98355,1.9864,32934
2008-01-31,1.9864,1.99453,1.9823,1.98715,38531
2008-02-01,1.98715,1.99405,1.96519,1.96615,42155
2008-02-04,1.96535,1.97865,1.9626,1.97325,27870
2008-02-05,1.97325,1.97635,1.96041,1.9647,35731
2008-02-06,1.9647,1.9662,1.95535,1.96145,32151
2008-02-07,1.96145,1.96225,1.93874,1.9422,40681
2008-02-08,1.9422,1.95115,1.9402,1.9456,30485
2008-02-11,1.94555,1.95295,1.9401,1.95075,28603
2008-02-12,1.95075,1.9633,1.9442,1.9597,32989
2008-02-13,1.9597,1.96646,1.95495,1.9628,31496
2008-02-14,1.9628,1.97375,1.96145,1.96895,30102
2008-02-15,1.96895,1.9722,1.95805,1.96058,32166
2008-02-18,1.9571,1.96375,1.94748,1.9524,25274
2008-02-19,1.9524,1.95416,1.94529,1.94868,33054
2008-02-20,1.94868,1.9502,1.9362,1.9417,35099
2008-02-21,1.9417,1.96418,1.94075,1.9627,34259
2008-02-22,1.9627,1.97081,1.96095,1.96711,27413
2008-02-25,1.96711,1.97005,1.96154,1.9671,26565
2008-02-26,1.9671,1.9875,1.9642,1.9869,34990
2008-02-27,1.9869,1.9972,1.97895,1.98165,43288
2008-02-28,1.98165,1.9947,1.97623,1.98865,40540
2008-02-29,1.98865,1.99228,1.97845,1.98696,45268
2008-03-03,1.98696,1.99369,1.98075,1.98355,40077
2008-03-04,1.98355,1.98919,1.98115,1.9862,31363
2008-03-05,1.9862,1.99665,1.97209,1.99185,40282
2008-03-06,1.99185,2.01156,1.98935,2.0092,43623
2008-03-07,2.0092,2.0216,2.00825,2.01445,40601
2008-03-10,2.01445,2.022,2.0088,2.00917,31865
2008-03-11,2.00917,2.02108,1.9995,2.0064,43077
2008-03-12,2.0064,2.028,2.00545,2.02685,44770
2008-03-13,2.02685,2.03916,2.0249,2.0333,43529
2008-03-14,2.0333,2.0398,2.0175,2.0219,48651
2008-03-17,2.0219,2.02323,1.9942,1.9988,59738
2008-03-18,1.9988,2.02735,1.995,2.00645,47958
2008-03-19,2.00645,2.0153,1.98026,1.98429,55508
2008-03-20,1.98429,1.98783,1.9734,1.98495,44022
2008-03-21,1.98495,1.988,1.981,1.98218,4203
2008-03-24,1.98218,1.98764,1.97578,1.98541,17692
2008-03-25,1.98541,2.00672,1.98438,2.0059,40354
2008-03-26,2.0059,2.01115,1.99257,2.0084,44711
2008-03-27,2.0084,2.01925,2.0024,2.007,46071
2008-03-28,2.007,2.0089,1.9881,1.9938,43819
2008-03-31,1.9938,1.9979,1.9813,1.9836,39423
2008-04-01,1.9836,1.98736,1.97285,1.9758,47480
2008-04-02,1.9758,1.9899,1.97465,1.9873,43445
2008-04-03,1.9873,1.9975,1.97585,1.9966,48746
2008-04-04,1.9966,2.00483,1.99093,1.99287,38053
2008-04-07,1.99287,1.99525,1.98339,1.9882,32773
2008-04-08,1.9882,1.99265,1.96645,1.9696,43751
2008-04-09,1.9696,1.97915,1.96495,1.97605,37614
2008-04-10,1.97605,1.9843,1.97055,1.97065,46292
2008-04-11,1.97065,1.97685,1.9682,1.97195,34034
2008-04-14,1.97195,1.9894,1.96511,1.9784,39039
2008-04-15,1.9784,1.97905,1.96,1.9625,42943
2008-04-16,1.9625,1.9806,1.96005,1.9722,43563
2008-04-17,1.9722,1.99241,1.96913,1.9912,51580
2008-04-18,1.9912,1.9999,1.98803,1.9947,46185
2008-04-21,1.9947,2.00267,1.97761,1.98027,42155
2008-04-22,1.98027,1.99993,1.97454,1.9951,49434
2008-04-23,1.9951,1.99738,1.97728,1.98035,45782
2008-04-24,1.98035,1.98155,1.9685,1.97401,48390
2008-04-25,1.97401,1.989,1.96762,1.98268,47529
2008-04-28,1.98268,1.9965,1.97818,1.99135,37787
2008-04-29,1.99135,1.99186,1.96659,1.9697,39265
2008-04-30,1.9697,1.9896,1.96235,1.98662,45349
2008-05-01,1.98662,1.99095,1.97127,1.97468,35733
2008-05-02,1.97468,1.9897,1.97053,1.9732,38098
2008-05-05,1.9732,1.9784,1.96553,1.97195,19018
2008-05-06,1.97195,1.9772,1.96352,1.9737,36018
2008-05-07,1.9737,1.97375,1.9503,1.9538,42120
