date,open,high,low,close,volume
2007-11-02,0.7581,0.7666,0.7574,0.765,13256
2007-11-05,0.7654,0.7708,0.76188,0.76967,15679
2007-11-06,0.76967,0.78055,0.7694,0.77998,10770
2007-11-07,0.77998,0.7892,0.7745,0.7748,18687
2007-11-08,0.7748,0.78044,0.7663,0.7758,18395
2007-11-09,0.7758,0.78193,0.7631,0.7632,18494
2007-11-12,0.7602,0.7622,0.7435,0.7436,19032
2007-11-13,0.7436,0.76171,0.7436,0.75903,16181
2007-11-14,0.75903,0.7677,0.75514,0.7627,17980
2007-11-15,0.7627,0.76621,0.7531,0.7532,15250
2007-11-16,0.7532,0.7622,0.75217,0.7556,12729
2007-11-19,0.7591,0.76207,0.75264,0.7536,10541
2007-11-20,0.7536,0.7665,0.74908,0.7652,18115
2007-11-21,0.7652,0.7666,0.7456,0.75165,20410
2007-11-22,0.75165,0.758,0.7485,0.7509,9607
2007-11-23,0.7509,0.7594,0.7505,0.7582,7913
2007-11-26,0.76093,0.76288,0.74864,0.75057,17114
2007-11-27,0.75057,0.7615,0.74882,0.7586,18699
2007-11-28,0.7586,0.776,0.7563,0.7748,18291
2007-11-29,0.7748,0.7752,0.7674,0.77076,14992
2007-11-30,0.77076,0.7752,0.75945,0.7621,14126
2007-12-03,0.7621,0.7682,0.76062,0.76361,9542
2007-12-04,0.76361,0.76547,0.7594,0.76305,10677
2007-12-05,0.76305,0.7714,0.75762,0.7696,13433
2007-12-06,0.7696,0.7782,0.7682,0.7774,11303
2007-12-07,0.7774,0.7817,0.7745,0.7757,10299
2007-12-10,0.77355,0.7818,0.7717,0.7812,9789
2007-12-11,0.7812,0.7857,0.7714,0.773,11982
2007-12-12,0.773,0.79367,0.77263,0.7859,16018
2007-12-13,0.7859,0.7877,0.7779,0.78018,13605
2007-12-14,0.78018,0.78543,0.7654,0.7675,11743
2007-12-17,0.7671,0.7694,0.7523,0.75473,11260
2007-12-18,0.75473,0.7586,0.7506,0.7552,11646
2007-12-19,0.7552,0.7588,0.75279,0.75557,9207
2007-12-20,0.75557,0.76071,0.75335,0.7594,8660
2007-12-21,0.7594,0.7677,0.75932,0.7637,6936
2007-12-24,0.76405,0.7673,0.76189,0.7666,2572
2007-12-25,0.76728,0.76752,0.76511,0.7657,0
2007-12-26,0.7666,0.7666,0.7654,0.7656,14
2007-12-27,0.7656,0.7718,0.7656,0.7707,5003
2007-12-28,0.7707,0.775,0.7686,0.7741,6942
2007-12-31,0.77341,0.77885,0.7665,0.7674,4410
2008-01-01,0.76599,0.76953,0.7654,0.76899,0
2008-01-02,0.7674,0.7757,0.7674,0.7751,6869
2008-01-03,0.7751,0.7787,0.7691,0.77035,8002
2008-01-04,0.77035,0.775,0.76516,0.76523,12833
2008-01-07,0.7661,0.77042,0.76112,0.7687,10914
2008-01-08,0.7687,0.77317,0.7672,0.7686,12614
2008-01-09,0.7686,0.77417,0.76712,0.77255,13084
2008-01-10,0.77255,0.78691,0.77216,0.7849,13684
2008-01-11,0.7849,0.7879,0.781,0.7828,11707
2008-01-14,0.7795,0.7914,0.7795,0.7905,8938
2008-01-15,0.7905,0.7932,0.77602,0.7769,12515
2008-01-16,0.7769,0.7807,0.7642,0.7712,21327
2008-01-17,0.7712,0.7762,0.7638,0.7659,16320
2008-01-18,0.7659,0.7687,0.75596,0.7601,21453
2008-01-21,0.7592,0.7616,0.7435,0.74543,16065
2008-01-22,0.74543,0.7673,0.7384,0.7636,26379
2008-01-23,0.7636,0.7688,0.7545,0.7661,22690
2008-01-24,0.7661,0.7743,0.7616,0.7738,15032
2008-01-25,0.7738,0.77495,0.76608,0.7701,12439
2008-01-28,0.7675,0.7775,0.7665,0.7774,10210
2008-01-29,0.7774,0.77952,0.7752,0.7782,8386
2008-01-30,0.7782,0.79145,0.776,0.7842,9574
2008-01-31,0.7842,0.7898,0.7751,0.7876,16320
2008-02-01,0.7876,0.796,0.78576,0.7935,12748
2008-02-04,0.7923,0.79663,0.78988,0.7934,11996
2008-02-05,0.7934,0.7946,0.7782,0.7812,15866
2008-02-06,0.7812,0.7891,0.7789,0.7876,14815
2008-02-07,0.7876,0.79293,0.7824,0.7887,19808
2008-02-08,0.7887,0.79121,0.7838,0.78765,11079
2008-02-11,0.787,0.7914,0.78618,0.7889,12545
2008-02-12,0.7889,0.7956,0.7864,0.7904,11160
2008-02-13,0.7904,0.7909,0.78135,0.7837,15816
2008-02-14,0.7837,0.7919,0.7834,0.7876,15503
2008-02-15,0.7876,0.7915,0.78422,0.7899,15797
2008-02-18,0.78989,0.79543,0.7893,0.795,8619
2008-02-19,0.795,0.8022,0.7948,0.79695,13459
2008-02-20,0.79695,0.79901,0.79022,0.7976,14260
2008-02-21,0.7976,0.8017,0.7971,0.8002,14375
2008-02-22,0.8002,0.8092,0.7987,0.80822,11963
2008-02-25,0.80822,0.8119,0.8058,0.8114,11464
2008-02-26,0.8114,0.8173,0.80656,0.817,15216
2008-02-27,0.817,0.8214,0.81253,0.816,15758
2008-02-28,0.816,0.81854,0.8105,0.8151,17352
2008-02-29,0.8151,0.81691,0.79698,0.79933,20121
2008-03-03,0.79933,0.8082,0.7923,0.8064,20257
2008-03-04,0.8064,0.8078,0.7956,0.801,15460
2008-03-05,0.801,0.8034,0.79219,0.80215,15436
2008-03-06,0.80215,0.805,0.79511,0.79655,14712
2008-03-07,0.79655,0.80135,0.7906,0.79425,16080
2008-03-10,0.79425,0.7961,0.7875,0.7883,14938
2008-03-11,0.7883,0.80421,0.7874,0.8035,15814
2008-03-12,0.8035,0.8085,0.7997,0.8059,15860
2008-03-13,0.8059,0.8183,0.801,0.8182,16743
2008-03-14,0.8182,0.8213,0.8114,0.81297,15604
2008-03-17,0.81297,0.8194,0.792,0.8011,14510
2008-03-18,0.8011,0.81154,0.7977,0.8065,12863
2008-03-19,0.8065,0.81731,0.79693,0.79955,13877
2008-03-20,0.79955,0.8044,0.78654,0.7908,20998
2008-03-21,0.7908,0.7954,0.7894,0.7919,1978
2008-03-24,0.7919,0.79945,0.7883,0.7976,5970
2008-03-25,0.7976,0.80798,0.79683,0.80665,15618
2008-03-26,0.80665,0.81005,0.7987,0.8043,14501
2008-03-27,0.8043,0.80649,0.8,0.8031,10987
2008-03-28,0.8031,0.8066,0.794,0.7965,13356
2008-03-31,0.7965,0.7965,0.7845,0.7859,17427
2008-04-01,0.7859,0.7879,0.7781,0.78667,19627
2008-04-02,0.78667,0.7926,0.7841,0.7897,19517
2008-04-03,0.7897,0.7911,0.7809,0.7852,17415
2008-04-04,0.7852,0.7897,0.7814,0.7887,12975
2008-04-07,0.7887,0.79882,0.7866,0.7957,13636
2008-04-08,0.7957,0.7997,0.7918,0.7994,12921
2008-04-09,0.7994,0.8004,0.79303,0.79711,13503
2008-04-10,0.79711,0.80243,0.79599,0.79859,16644
2008-04-11,0.79859,0.801,0.7924,0.79389,14812
2008-04-14,0.79389,0.79389,0.7852,0.7916,15595
2008-04-15,0.7916,0.7946,0.7826,0.78627,16988
2008-04-16,0.78627,0.7922,0.78306,0.792,17319
2008-04-17,0.792,0.7933,0.7851,0.79065,18220
2008-04-18,0.79065,0.79391,0.785,0.79098,16588
2008-04-21,0.79098,0.797,0.7892,0.79374,12002
2008-04-22,0.79374,0.7986,0.7903,0.79729,15332
2008-04-23,0.79729,0.80332,0.7956,0.79811,16900
