date,open,high,low,close,volume
2007-06-22,13.115,13.19,12.99,13.02,21777
2007-06-25,13.03,13.07,12.81,12.877,31223
2007-06-26,12.86,12.9,12.135,12.28,59922
2007-06-27,12.245,12.36,12.125,12.21,35835
2007-06-28,12.415,12.59,12.385,12.505,28762
2007-06-29,12.58,12.675,12.355,12.473,16747
2007-07-02,12.51,12.765,12.51,12.74,15785
2007-07-03,12.735,12.785,12.56,12.685,15785
2007-07-04,12.715,12.78,12.68,12.755,12593
2007-07-05,12.715,12.78,12.495,12.58,13882
2007-07-06,12.57,12.865,12.42,12.757,21196
2007-07-09,12.79,12.965,12.765,12.82,14685
2007-07-10,12.8,13.085,12.79,12.975,17059
2007-07-11,12.985,13.09,12.915,12.975,15162
2007-07-12,12.99,13.225,12.955,13.18,19892
2007-07-13,13.18,13.235,13.075,13.11,13229
2007-07-16,13.11,13.175,13.015,13.065,9558
2007-07-17,13.03,13.14,12.925,13.018,11919
2007-07-18,12.99,13.35,12.965,13.29,22963
2007-07-19,13.285,13.4,13.245,13.375,14509
2007-07-20,13.335,13.5,13.3,13.403,16855
2007-07-23,13.4,13.48,13.31,13.33,11749
2007-07-24,13.33,13.59,13.265,13.443,18097
2007-07-25,13.325,13.355,13.105,13.15,18076
2007-07-26,13.18,13.235,12.755,12.95,38262
2007-07-27,12.88,13.005,12.65,12.715,21307
2007-07-30,12.7,12.96,12.685,12.903,12182
2007-07-31,12.955,13.09,12.86,13.017,16214
2007-08-01,12.91,13.075,12.74,12.955,23224
2007-08-02,13.055,13.085,12.955,12.995,10807
2007-08-03,13.01,13.2,12.985,13.158,18577
2007-08-06,13.14,13.205,12.92,13.033,15575
2007-08-07,13.01,13.17,12.925,13.095,19157
2007-08-08,13.125,13.25,13.05,13.17,18662
2007-08-09,13.145,13.165,12.625,12.705,37041
2007-08-10,12.685,13.06,12.605,12.87,31522
2007-08-13,12.87,12.92,12.75,12.855,12287
2007-08-14,12.82,12.91,12.7,12.748,19089
2007-08-15,12.725,12.765,12.335,12.555,32182
2007-08-16,12.5,12.56,11.06,11.495,23373
2007-08-17,11.765,12.015,11.49,11.8,36222
2007-08-20,11.795,11.975,11.62,11.735,22653
2007-08-21,11.76,11.84,11.455,11.51,27424
2007-08-22,11.565,11.79,11.52,11.565,22939
2007-08-23,11.645,11.895,11.62,11.64,25524
2007-08-24,11.725,12.005,11.58,11.94,24384
2007-08-27,11.95,11.99,11.73,11.765,18150
2007-08-28,11.74,11.905,11.675,11.765,26731
2007-08-29,11.745,11.925,11.705,11.845,24849
2007-08-30,12.075,12.075,11.89,11.96,20618
2007-08-31,11.945,12.275,11.93,12.23,20618
2007-09-03,12.26,12.36,12.2,12.28,15104
2007-09-04,12.26,12.515,12.16,12.448,22130
2007-09-05,12.43,12.46,12.265,12.355,13140
2007-09-06,12.375,12.67,12.35,12.533,25532
2007-09-07,12.585,12.845,12.53,12.76,26812
2007-09-10,12.69,12.86,12.56,12.7,18337
2007-09-11,12.69,12.95,12.635,12.835,21043
2007-09-12,12.84,12.925,12.645,12.793,22663
2007-09-13,12.765,12.8,12.49,12.68,19812
2007-09-14,12.67,12.935,12.585,12.705,19937
2007-09-17,12.68,12.98,12.675,12.9,15966
2007-09-18,12.945,13.23,12.825,12.925,26012
2007-09-19,13.12,13.24,13.03,13.105,21594
2007-09-20,13.085,13.64,13.035,13.47,39732
2007-09-21,13.5,13.8,13.435,13.62,29044
2007-09-24,13.65,13.87,13.535,13.64,23975
2007-09-25,13.59,13.64,13.325,13.62,23275
2007-09-26,13.61,13.745,13.465,13.545,22717
2007-09-27,13.52,13.73,13.48,13.645,15754
2007-09-28,13.67,14,13.625,13.92,27226
2007-10-01,13.935,13.99,13.76,13.855,16361
2007-10-02,13.85,13.86,13.18,13.45,34170
2007-10-03,13.455,13.595,13.35,13.47,18882
2007-10-04,13.43,13.53,13.15,13.5,23612
2007-10-05,13.49,13.63,13.31,13.49,22948
2007-10-08,13.52,13.545,13.325,13.36,9978
2007-10-09,13.345,13.685,13.25,13.583,22088
2007-10-10,13.61,13.79,13.585,13.668,14212
2007-10-11,13.675,14.03,13.65,13.985,23465
2007-10-12,13.865,13.995,13.795,13.903,15372
