date,open,high,low,close,volume
2009-10-05,1.08256,1.08256,1.06897,1.06897,32811
2009-10-06,1.06897,1.07144,1.05466,1.05852,47917
2009-10-07,1.05852,1.06487,1.05277,1.06072,45116
2009-10-08,1.06072,1.06309,1.05055,1.05137,44850
2009-10-09,1.05137,1.05522,1.04107,1.04447,47664
2009-10-11,1.0347,1.0349,1.0322,1.0325,0
2009-10-12,1.04447,1.04511,1.03173,1.03447,32570
2009-10-13,1.03447,1.03748,1.02662,1.03147,54961
2009-10-14,1.03147,1.03252,1.02302,1.02307,53819
2009-10-15,1.02307,1.03713,1.02058,1.03337,59729
2009-10-16,1.03337,1.04353,1.02877,1.03757,57366
2009-10-18,1.0289,1.0295,1.0279,1.0288,0
2009-10-19,1.03757,1.04208,1.02787,1.02787,45012
2009-10-20,1.02787,1.05265,1.02666,1.04897,52594
2009-10-21,1.04897,1.05833,1.03777,1.04232,59921
2009-10-22,1.04232,1.05443,1.04162,1.04707,59396
2009-10-23,1.04707,1.05448,1.04468,1.05244,52571
2009-10-26,1.05244,1.06967,1.05008,1.06857,50397
2009-10-27,1.06857,1.07167,1.06268,1.06427,63731
2009-10-28,1.06427,1.08127,1.06356,1.08062,60815
2009-10-29,1.08062,1.08198,1.06548,1.06597,56392
2009-10-30,1.06597,1.08381,1.06527,1.08167,61785
2009-11-02,1.08167,1.08674,1.07142,1.07632,56108
2009-11-03,1.07632,1.08537,1.06517,1.06542,59902
2009-11-04,1.06542,1.06838,1.05946,1.06237,45978
2009-11-05,1.06237,1.06809,1.06051,1.06442,41998
2009-11-06,1.06442,1.07799,1.06078,1.07491,44982
2009-11-09,1.07491,1.07491,1.05417,1.05452,34497
2009-11-10,1.05452,1.06068,1.04818,1.04892,31758
2009-11-11,1.04892,1.05028,1.04318,1.04447,33140
2009-11-12,1.04447,1.05767,1.04158,1.05512,37153
2009-11-13,1.05512,1.05658,1.04715,1.05011,31019
2009-11-16,1.05011,1.05372,1.04261,1.04707,33709
2009-11-17,1.04707,1.06187,1.04636,1.05057,45661
2009-11-18,1.05057,1.05823,1.04498,1.05427,40130
2009-11-19,1.05427,1.06895,1.05397,1.06307,43688
2009-11-20,1.06307,1.07329,1.06133,1.06972,43658
2009-11-23,1.06972,1.07085,1.05391,1.05517,36174
2009-11-24,1.05517,1.06431,1.05497,1.05757,40342
2009-11-25,1.05757,1.05829,1.04501,1.04523,44123
2009-11-26,1.04523,1.06204,1.04505,1.05852,24685
2009-11-27,1.05852,1.07497,1.05795,1.06114,47190
2009-11-30,1.06114,1.06156,1.05332,1.05592,49069
2009-12-01,1.05592,1.05773,1.04057,1.04572,42284
2009-12-02,1.04572,1.05153,1.04313,1.04962,39372
2009-12-03,1.04962,1.05837,1.04617,1.05712,41623
2009-12-04,1.05712,1.05957,1.04358,1.05757,50073
2009-12-07,1.05757,1.06497,1.04818,1.05067,43302
2009-12-08,1.05067,1.06703,1.04858,1.06347,43017
2009-12-09,1.06347,1.06608,1.05147,1.05412,41370
2009-12-10,1.05412,1.05827,1.04787,1.05127,33245
2009-12-11,1.05127,1.06219,1.04797,1.05954,33459
2009-12-14,1.05954,1.06623,1.05663,1.05837,35057
2009-12-15,1.05837,1.06526,1.05515,1.06067,36837
2009-12-16,1.06067,1.06427,1.05707,1.06097,39181
2009-12-17,1.06097,1.0746,1.06072,1.07072,39752
2009-12-18,1.07072,1.07252,1.06284,1.06627,36018
2009-12-21,1.06627,1.06977,1.05358,1.06218,27843
2009-12-22,1.06218,1.06348,1.05409,1.05723,31277
2009-12-23,1.05723,1.05772,1.04699,1.04846,22008
2009-12-24,1.04846,1.04946,1.04471,1.04858,11301
2009-12-25,1.05,1.0502,1.0472,1.049,0
2009-12-28,1.04858,1.04989,1.04177,1.04266,12512
2009-12-29,1.04266,1.04444,1.03659,1.04316,23524
2009-12-30,1.04316,1.05773,1.04247,1.05498,26654
2009-12-31,1.05498,1.05593,1.04577,1.04635,13190
2010-01-01,1.0517,1.053,1.0512,1.0512,0
2010-01-04,1.04635,1.05183,1.03516,1.04189,30751
2010-01-05,1.04189,1.04194,1.03359,1.03871,37183
2010-01-06,1.03871,1.04101,1.03118,1.03211,35673
2010-01-07,1.03211,1.03729,1.02907,1.03418,39112
2010-01-08,1.03418,1.03848,1.02947,1.03079,40705
2010-01-11,1.03079,1.03435,1.02503,1.0335,25093
2010-01-12,1.0335,1.04133,1.03123,1.03868,37082
2010-01-13,1.03868,1.04113,1.02896,1.03117,36677
2010-01-14,1.03117,1.03222,1.02235,1.02312,31774
2010-01-15,1.02312,1.03135,1.0231,1.02923,34652
2010-01-18,1.02923,1.03144,1.0245,1.0245,14974
2010-01-19,1.0245,1.03477,1.0245,1.02926,35375
2010-01-20,1.02926,1.04884,1.02926,1.04621,44074
2010-01-21,1.04621,1.05243,1.04373,1.05169,40630
2010-01-22,1.05169,1.0602,1.04631,1.05562,35894
2010-01-25,1.05562,1.06127,1.05322,1.05764,31518
2010-01-26,1.05764,1.06917,1.05447,1.06291,46185
2010-01-27,1.06291,1.06874,1.06083,1.06418,47073
2010-01-28,1.06418,1.06698,1.05557,1.06618,49387
2010-01-29,1.06618,1.06952,1.06227,1.06924,44995
2010-02-01,1.06924,1.07209,1.06092,1.06092,37301
2010-02-02,1.06092,1.06397,1.05647,1.05717,39782
2010-02-03,1.05717,1.06358,1.05457,1.06218,39929
2010-02-04,1.06218,1.07517,1.05961,1.07304,46854
2010-02-05,1.07304,1.07807,1.06429,1.06993,60281
2010-02-08,1.06993,1.07557,1.06562,1.07533,44094
2010-02-09,1.07533,1.07733,1.06447,1.0658,52227
2010-02-10,1.0658,1.07077,1.05969,1.06248,52208
2010-02-11,1.06248,1.06278,1.04787,1.05003,51908
2010-02-12,1.05003,1.05787,1.04877,1.05149,49778
2010-02-15,1.05149,1.05317,1.04617,1.04892,19728
2010-02-16,1.04892,1.04977,1.04095,1.04387,37162
2010-02-17,1.04387,1.04707,1.0411,1.04619,36617
2010-02-18,1.04619,1.0497,1.03968,1.04633,40929
2010-02-19,1.04633,1.05307,1.03879,1.04034,44481
2010-02-22,1.04034,1.04407,1.03697,1.04299,27456
2010-02-23,1.04299,1.05797,1.03812,1.05662,37266
2010-02-24,1.05662,1.05941,1.05117,1.05359,26136
2010-02-25,1.05359,1.06797,1.05123,1.06333,46554
2010-02-26,1.06333,1.06333,1.05117,1.05208,44044
