date,open,high,low,close,volume
2007-12-31,1.128,1.13472,1.12255,1.13329,14436
2008-01-01,1.1326,1.1357,1.131,1.1313,0
2008-01-02,1.13329,1.13329,1.1148,1.1194,24416
2008-01-03,1.1194,1.12013,1.1105,1.11072,34939
2008-01-04,1.11072,1.11627,1.10192,1.10664,32750
2008-01-07,1.10738,1.1191,1.1066,1.11627,32221
2008-01-08,1.11627,1.11902,1.11184,1.1124,26803
2008-01-09,1.1124,1.1171,1.1104,1.1165,23273
2008-01-10,1.1165,1.11726,1.10043,1.10339,34995
2008-01-11,1.10339,1.10485,1.09769,1.1016,29218
2008-01-14,1.10084,1.1012,1.0886,1.093,22060
2008-01-15,1.093,1.0945,1.0854,1.0928,27862
2008-01-16,1.0928,1.1024,1.08375,1.10039,40321
2008-01-17,1.10039,1.1087,1.09535,1.1009,35804
2008-01-18,1.1009,1.10661,1.0982,1.0994,32433
2008-01-21,1.0995,1.11105,1.0992,1.10805,33088
2008-01-22,1.10805,1.11216,1.09475,1.0948,43542
2008-01-23,1.0948,1.099,1.0871,1.0914,41830
2008-01-24,1.0914,1.09365,1.08462,1.0878,34705
2008-01-25,1.0878,1.0989,1.0862,1.09722,33596
2008-01-28,1.09565,1.09655,1.0872,1.08915,29370
2008-01-29,1.08915,1.0961,1.0883,1.0936,29009
2008-01-30,1.0936,1.09495,1.0815,1.08325,34176
2008-01-31,1.08325,1.08595,1.0757,1.08168,46594
2008-02-01,1.08168,1.0896,1.07279,1.0889,41141
2008-02-04,1.08865,1.09245,1.08635,1.088,31646
2008-02-05,1.088,1.1057,1.08734,1.0995,41975
2008-02-06,1.0995,1.1004,1.0951,1.09805,35065
2008-02-07,1.09805,1.11035,1.0933,1.10393,46237
2008-02-08,1.10393,1.1081,1.1009,1.102,35755
2008-02-11,1.10196,1.1047,1.09465,1.1023,31558
2008-02-12,1.1023,1.10413,1.098,1.102,34717
2008-02-13,1.102,1.1107,1.10086,1.1082,34495
2008-02-14,1.1082,1.10975,1.09643,1.0975,37452
2008-02-15,1.0975,1.09865,1.0886,1.0938,37247
2008-02-18,1.0933,1.10463,1.0931,1.10215,27344
2008-02-19,1.10215,1.1025,1.09092,1.09403,38987
2008-02-20,1.09403,1.10255,1.09357,1.0995,41216
2008-02-21,1.0995,1.10333,1.0866,1.0896,42260
2008-02-22,1.0896,1.0917,1.08355,1.0848,37998
2008-02-25,1.0848,1.09295,1.0848,1.0893,31670
2008-02-26,1.0893,1.09185,1.07462,1.0755,44439
2008-02-27,1.0755,1.07635,1.06109,1.06314,49463
2008-02-28,1.06314,1.06444,1.04846,1.0519,44795
2008-02-29,1.0519,1.05265,1.0409,1.0417,51372
2008-03-03,1.0417,1.04574,1.0308,1.0422,43822
2008-03-04,1.0422,1.043,1.0336,1.03755,38145
2008-03-05,1.03755,1.04286,1.03347,1.03656,41307
2008-03-06,1.03656,1.03816,1.02135,1.02258,43930
2008-03-07,1.02258,1.0285,1.01325,1.02557,47942
2008-03-10,1.02557,1.0256,1.01716,1.01925,35196
2008-03-11,1.01925,1.03485,1.0148,1.0333,46937
2008-03-12,1.0333,1.0353,1.01275,1.01457,47769
2008-03-13,1.01457,1.01675,1.00442,1.0098,59977
2008-03-14,1.0098,1.01439,0.99724,0.99878,54708
2008-03-17,0.99878,0.99878,0.96455,0.9843,70219
2008-03-18,0.9843,1.00346,0.9785,1.0022,53241
2008-03-19,1.0022,1.00537,0.9868,0.99762,62566
2008-03-20,0.99762,1.01675,0.99525,1.0095,59272
2008-03-21,1.0095,1.0099,1.0049,1.008,6664
2008-03-24,1.008,1.025,1.008,1.0203,20670
2008-03-25,1.0203,1.02215,1.0039,1.005,42809
2008-03-26,1.005,1.0113,0.98845,0.9887,52177
2008-03-27,0.9887,0.9988,0.988,0.9939,57724
2008-03-28,0.9939,0.99968,0.9913,0.99467,56317
2008-03-31,0.99467,0.9993,0.9871,0.99295,44036
2008-04-01,0.99295,1.014,0.99274,1.01226,56481
2008-04-02,1.01226,1.01648,1.00688,1.00856,59617
2008-04-03,1.00856,1.0218,1.00709,1.01003,55278
2008-04-04,1.01003,1.01286,1.00145,1.00581,49904
2008-04-07,1.00581,1.01722,1.0054,1.01295,45063
2008-04-08,1.01295,1.01562,1.00657,1.01386,50665
2008-04-09,1.01386,1.0168,0.99742,1.00175,49050
2008-04-10,1.00175,1.00877,0.98879,1.0081,63044
2008-04-11,1.0081,1.00898,0.99658,1.00046,52506
2008-04-14,1.00046,1.00747,0.99265,0.9986,47031
2008-04-15,0.9986,1.0086,0.99561,1.0063,43001
2008-04-16,1.0063,1.01104,0.99395,1.0003,51025
2008-04-17,1.0003,1.00935,0.9959,1.0061,55976
2008-04-18,1.0061,1.02836,1.00381,1.01867,49721
2008-04-21,1.01867,1.02055,1.00642,1.00889,44571
