date,open,high,low,close,volume
2007-11-14,110.895,111.751,110.76,111.31,36732
2007-11-15,111.31,111.68,110.21,110.29,37694
2007-11-16,110.29,111.339,109.77,110.921,33698
2007-11-19,110.85,111.071,109.75,109.771,30255
2007-11-20,109.771,110.58,109.51,109.965,42080
2007-11-21,109.965,109.98,108.252,108.412,41105
2007-11-22,108.412,109.164,108.29,108.43,22164
2007-11-23,108.43,108.607,107.549,108.32,25238
2007-11-26,108.39,108.774,107.221,107.41,32324
2007-11-27,107.41,109.15,107.28,108.96,43711
2007-11-28,108.96,110.481,108.26,110.015,36253
2007-11-29,110.015,110.31,109.47,109.927,35175
2007-11-30,109.927,111.223,109.65,111.11,34478
2007-12-03,111.02,111.02,110.131,110.455,22936
2007-12-04,110.455,110.541,109.56,109.86,25752
2007-12-05,109.86,110.96,109.7,110.88,24164
2007-12-06,110.88,111.46,110.63,111.32,24262
2007-12-07,111.32,111.785,111.162,111.71,18838
2007-12-10,111.42,111.88,111.345,111.7,19000
2007-12-11,111.7,112.14,110.479,110.65,23759
2007-12-12,110.65,112.471,110.62,112.23,29739
2007-12-13,112.23,112.451,111.404,112.209,31623
2007-12-14,112.209,113.59,112.205,113.4,30227
2007-12-17,113.47,113.49,112.83,112.935,25741
2007-12-18,112.935,113.53,112.746,113.39,24822
2007-12-19,113.39,113.491,112.74,113.422,26109
2007-12-20,113.422,113.422,112.791,113.13,24091
2007-12-21,113.13,114.203,112.947,114.195,22206
2007-12-24,114.12,114.465,113.973,114.445,8222
2007-12-25,114.19,114.36,113.95,114.2,0
2007-12-26,114.445,114.445,114.2,114.22,186
2007-12-27,114.22,114.66,113.57,113.72,17494
2007-12-28,113.72,114.018,112.63,112.63,26082
2007-12-31,112.54,112.665,111.496,111.736,13954
2008-01-01,111.2,111.968,111.2,111.82,0
2008-01-02,111.736,111.92,109.219,109.65,21930
2008-01-03,109.65,109.756,108.235,109.315,32201
2008-01-04,109.315,109.586,107.901,108.45,33129
2008-01-07,108.5,109.734,108.5,109.17,32045
2008-01-08,109.17,109.83,108.861,108.89,34034
2008-01-09,108.89,110.127,108.78,110.03,36249
2008-01-10,110.03,110.098,109.104,109.326,38741
2008-01-11,109.326,109.704,108.625,108.98,38663
2008-01-14,108.62,108.96,107.37,108.155,26281
2008-01-15,108.155,108.34,106.6,106.775,35888
2008-01-16,106.775,107.925,105.911,107.63,47056
2008-01-17,107.63,107.88,106.525,106.535,44404
2008-01-18,106.535,107.59,106.35,106.645,39268
2008-01-21,106.7,106.976,105.675,105.981,32796
2008-01-22,105.981,107.046,105.615,106.43,54517
2008-01-23,106.43,107.38,104.96,106.7,52111
2008-01-24,106.7,107.192,105.94,107.171,49185
2008-01-25,107.171,107.891,106.748,106.82,42156
2008-01-28,106.755,107.04,106,106.885,42842
2008-01-29,106.885,107.225,106.385,107.105,38441
2008-01-30,107.105,107.46,106.209,106.21,38544
2008-01-31,106.21,106.87,105.705,106.425,56220
2008-02-01,106.425,106.73,105.759,106.575,42075
2008-02-04,106.52,107.085,106.5,106.705,30469
2008-02-05,106.705,107.74,106.58,106.805,41125
2008-02-06,106.805,106.855,106.181,106.53,39747
