date,open,high,low,close,volume
2026-06-02,4528.17,4534.67,4478.74,4488.09,155694
2026-06-03,4480.04,4496.76,4426.29,4443.94,381932
2026-06-04,4431.66,4515.39,4424.02,4480.79,370580
2026-06-05,4472.06,4481.51,4313.84,4318.52,477288
2026-06-08,4326.33,4353.38,4268.51,4326.66,504297
2026-06-09,4327.96,4363.5,4236.55,4258.72,499118
2026-06-10,4247.1,4257.36,4081.61,4082.72,634225
2026-06-11,4067.76,4219.93,4023.74,4208.87,661129
2026-06-12,4207.64,4246.34,4170.16,4210.73,512434
2026-06-15,4262.55,4369.4,4231.18,4320.83,414433
2026-06-16,4305.42,4354.95,4302.82,4334.07,411411
2026-06-17,4327.69,4382.48,4219.14,4235.86,441888
2026-06-18,4252.88,4329.91,4201.27,4216.88,483985
2026-06-19,4203.06,4212.7,4121.68,4152.52,315622
2026-06-22,4138.9,4220.91,4133.63,4190.59,480961
2026-06-23,4189.24,4198.57,4090.83,4111.75,479139
2026-06-24,4109.55,4115.07,3958.96,3988.07,610858
2026-06-25,4001.11,4044.22,3963.03,4026.81,541838
2026-06-26,3989.99,4096.03,3982.99,4071.69,482586
2026-06-29,4082.28,4085.55,4000.3,4015.94,561209
2026-06-30,4013.93,4063.48,3942.48,4016.16,485399
2026-07-01,3997.53,4115.79,3959.93,4038.77,456798
2026-07-02,3998.58,4144.07,3998.58,4121.33,510684
2026-07-03,4091.17,4195.42,4091.17,4171.97,274170
2026-07-06,4171.97,4203.03,4128.44,4163.79,419290
2026-07-07,4162.13,4180.51,4092.19,4114.25,415046
2026-07-08,4094.64,4133.98,4021.54,4079.71,680096
2026-07-09,4074.17,4138.1,4054.08,4122.32,504523
2026-07-10,4120.93,4134.76,4072.72,4108.45,382244
2026-07-13,4095.58,4103.13,3986.37,4001.97,545468
2026-07-14,3977.51,4102.56,3971.22,4055.57,528626
2026-07-15,4019.79,4081.45,4017.25,4056.88,515698
2026-07-16,4050.87,4065.25,3969.1,3979.87,457669
2026-07-17,3973.91,4023.72,3959.56,4015.15,536777
2026-07-20,4000.49,4040.66,3964.89,4006.79,526473
2026-07-21,4004.66,4087.14,3999.7,4084.4,367449
2026-07-22,4076.59,4166,4076.55,4131.84,477949
2026-07-23,4123.93,4141.03,4040.11,4049.66,582944
2026-07-24,4032.03,4082.04,4021.82,4053.67,358915
2026-07-27,4088.39,4116.23,4009.11,4083.37,526349
2026-07-28,4063.21,4081.42,4011.51,4026.38,476616
2026-07-29,4022.84,4116.2,3995.92,4044.59,512591
2026-07-30,4027.47,4120.29,4016.39,4111.96,650946
2026-07-31,4078.18,4111.67,4020.94,4050.77,384567
2026-08-03,4074.21,4079.24,4019,4051.83,448022
2026-08-04,4017.16,4106.35,4017.16,4078.54,389608
2026-08-05,4065.5,4267.72,4054.09,4246.93,442434
2026-08-06,4244.09,4304.08,4223.33,4248.72,512000
2026-08-07,4220.77,4371.74,4220.77,4343.88,411745
2026-08-10,4336.25,4395.18,4307.72,4388.19,338344
2026-08-11,4382.37,4435.21,4352.16,4370.61,279972
2026-08-12,4367.51,4441.09,4355.96,4413.76,436309
2026-08-13,4403.56,4449.63,4343.58,4350.1,530493
2026-08-14,4340.87,4396.87,4310.73,4376,461876
2026-08-17,4375.27,4428.83,4276.43,4419.68,462006
2026-08-18,4406.6,4436.15,4338.24,4345.5,465835
2026-08-19,4316.78,4512.06,4314.8,4511.08,542903
2026-08-20,4489.31,4540.91,4450.54,4528.48,570631
2026-08-21,4508.3,4632.14,4508.3,4617.03,374739
2026-08-24,4608.1,4680.9,4594.42,4651.47,443289
2026-08-25,4648.89,4696.73,4601.08,4666.92,421912
2026-08-26,4652.17,4673.54,4582.95,4594.31,363307
2026-08-27,4593.63,4642.96,4565.03,4609.17,419684
2026-08-28,4597.75,4631.13,4445.27,4458.28,450376
2026-08-31,4428.39,4472.11,4386.38,4453.63,417028
2026-09-01,4421.34,4461.33,4322.4,4327.01,469124
2026-09-02,4320.26,4397.55,4282.4,4391.18,447582
2026-09-03,4374,4510.76,4352.78,4475.08,365669
2026-09-04,4474.1,4490.67,4365.34,4434.66,375186
2026-09-07,4417,4434.92,4381.03,4406.13,226539
2026-09-08,4403.84,4442.89,4356.74,4359.38,359841
2026-09-09,4352.19,4434.07,4340.63,4399.15,315091
2026-09-10,4401.6,4434.62,4313.68,4324.32,408793
2026-09-11,4311.47,4402.45,4285.91,4348.46,419377
2026-09-14,4328.26,4355.27,4253.48,4283.53,371541
2026-09-15,4294.14,4317.33,4261.21,4297.81,386596
2026-09-16,4270.1,4342.76,4269.99,4342.58,143194
